"","ID","condition","admiration","beauty","boredom01","boredom02","empathy","imagination","interest01","interest02","liking","nostalgia01","nostalgia02","isp01","isp02","isp03","isp04","isp05","ispa","distance","travelDistance","distancePre","travelDistancePre","dataLength","dataLengthPre"
"96","vIuKEroz","I",3,4,4,4,3,2,2,2,3,5,2,1,3,4,2,2,2.4,5.92276620587397,280.376788999675,2.73876345901218,159.601741240931,4605,14185
"97","dsWgE34Y","P",3,4,4,3,2,2,3,3,3,5,2,4,5,4,2,2,3.4,6.78813934705797,395.50227724479,2.90654266363964,122.774447024477,5925,7656
"98","iyXPE9fX","P",2,2,4,4,2,2,1,2,2,2,1,3,3,4,3,3,3.2,5.88545754837649,393.19200625144,2.01942351374959,44.2535200740134,4637,3660
"99","dqojcll0","W",4,2,5,4,4,2,2,2,4,4,2,2,4,4,2,4,3.2,7.66328066069155,595.676628253194,2.02741784199229,143.317871557705,4505,3890
"100","sDAXLRV6","P",2,1,5,4,2,2,2,2,1,1,2,3,4,2,4,5,3.6,4.11854112102376,56.4162643045827,3.06880209460171,58.6278051424218,5450,537
"101","A4QYxCv6","P",1,1,5,4,5,1,2,2,2,4,1,2,3,1,4,3,2.6,5.65622608053828,422.196639962844,4.30124438809358,165.588781988764,5812,6425
"102","U58bwJOW","I",2,4,4,4,4,3,2,1,3,3,2,2,4,4,4,3,3.4,6.28028158637504,455.035430012615,2.86864137613004,142.070073930449,5888,7450
"103","FsJr4bxl","W",3,5,2,2,4,3,4,4,4,5,3,4,4,4,4,4,4,5.87768715918364,502.00791188132,2.85664861231115,48.5742041978413,3930,1873
"104","cfIBQaib","P",3,2,4,4,3,2,2,2,3,4,2,2,4,4,4,4,3.6,6.38765548351235,186.989308134617,2.68351403845952,115.746700454909,5899,7658
"105","QqiWVpNk","I",5,3,3,2,3,2,4,4,4,5,5,4,3,5,2,3,3.4,6.25206226571608,350.068977663968,2.93226013205134,137.497917794647,5826,3864
"106","o8JEpRno","P",2,4,5,4,4,2,2,2,5,1,2,4,5,5,5,5,4.8,10.9648642349799,221.90240621456,3.8662533478802,268.45095713281,1481,6410
"107","cb1G154G","I",2,2,4,3,3,2,1,2,2,3,3,3,2,2,2,2,2.2,7.99671802398535,550.334204564757,2.94137937399563,110.601985300752,4232,2482
"108","yV8kNtdd","I",1,2,5,5,1,2,1,1,1,3,3,2,2,3,2,2,2.2,7.34903990808861,280.706056156681,2.81607623720214,48.5460295490064,2756,2100
"109","B5Tsyqro","P",0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71309021575206,197.49499086575,2.52776848186603,44.6951616468422,5199,3175
"110","euiQx3oA","I",3,4,4,4,4,2,4,3,4,1,1,2,2,4,2,2,2.4,5.76636549041644,602.540598526697,2.78796123875431,213.102728593844,5768,7152
"111","Un1gh0Dp","W",4,2,2,2,3,3,3,4,3,4,4,4,4,4,5,5,4.4,8.72123844416604,0,2.99387117676102,153.497901971208,5932,8421
"112","dUHOLYPl","P",2,1,5,5,5,4,2,2,1,6,6,4,5,1,5,5,4,6.73009442520994,480.247542766352,2.95285944752991,174.341766106356,5528,3807
"113","4LMDUWX9","P",2,1,5,4,3,2,2,2,3,3,2,2,3,3,3,4,3,8.35926466413415,475.037577765867,3.00678749603648,64.9332321382868,5510,1435
"114","Y3UQHbNF","I",2,2,5,5,2,1,2,2,3,4,0,3,5,6,5,6,5,7.96275659093958,101.99144817978,2.95436417508444,35.6249158123357,287,399
"115","C99JHXxy","W",2,2,4,4,2,2,2,2,3,2,2,2,3,3,3,3,2.8,9.09777779045366,245.164527782925,2.92116613953519,127.80328802478,5835,5947
"116","bhan7Qd8","P",2,3,4,4,5,2,2,2,4,3,2,2,2,4,4,4,3.2,6.73131563784667,488.732587493944,2.73979994940476,78.371335835934,5940,6188
"117","ZZsunNLM","I",3,3,3,2,5,2,3,2,4,5,5,4,4,5,5,4,4.4,6.1821707092502,491.097312186372,3.03620615407873,211.953668708351,5569,6947
"118","4gyczoXA","P",0,0,5,5,2,1,1,1,1,2,1,1,4,1,3,4,2.6,9.42472446812359,463.157401249128,2.72773534332187,57.2382725779566,2060,4954
"119","Rd5nbgDk","P",2,0,6,6,4,0,0,0,2,1,1,1,2,2,2,2,1.8,4.59613952125648,220.689293397255,2.24573823074346,107.248024490417,5941,3090
"120","mt3dxGXR","W",3,2,4,3,4,2,2,3,2,5,4,2,3,4,2,3,2.8,8.84329830751097,152.138409666055,2.89915474231351,144.124931367384,80,558
"121","ftpCppsI","I",4,2,3,2,3,4,2,2,3,2,2,4,3,5,4,4,4,8.63973917004255,129.756258843654,3.30556972644418,44.4630103905185,5533,11163
"122","yTvudxhE","W",4,2,4,4,3,2,2,2,2,4,4,2,2,4,4,2,2.8,7.60207454414581,420.042514517405,2.55086017106327,20.1306539397931,5907,3507
"123","pdkzp9Gp","W",3,2,4,4,2,2,2,2,3,1,1,4,4,5,4,5,4.4,4.93022395695356,370.350422803869,3.62899208628523,49.6718191949696,5800,1799
"124","lI30TcZK","P",3,3,4,4,3,2,2,2,4,4,2,2,4,4,3,4,3.4,4.55512770728877,224.956466718282,2.72880901973624,26.2629263674316,5917,1275
"125","YzrKzsXL","P",2,2,4,4,2,2,2,2,2,4,2,2,2,4,2,2,2.4,8.82933332515701,575.041889619873,2.4166590716272,52.7513582585995,5264,2444
"126","3RMLCvFV","P",2,1,5,4,3,2,2,2,3,4,2,2,3,3,4,3,3,8.2030212283113,422.175699034335,2.94261109502618,123.454348079325,5288,4020
"127","TqbQWuYN","W",2,2,6,6,1,1,2,1,3,1,0,2,2,4,1,1,2,6.3462791016146,313.553514314376,2.51633229360168,61.5492637115116,4662,6379
"128","6Bk3VTw7","W",3,2,3,3,2,3,1,2,3,3,2,4,5,5,3,4,4.2,2.5580120654459,41.1646588920186,2.81500055900962,68.0283330327409,94,691
"129","T4SfeocC","P",4,4,2,2,4,4,3,3,3,4,3,3,3,3,3,3,3,8.72123844416605,386.744872605188,3,4.44089209850063e-16,2946,63
"130","BfNMnKa6","W",3,2,5,4,2,1,1,1,2,2,2,2,2,2,4,4,2.8,7.62741184143031,170.87638706503,2.59019183082191,63.7561908889768,5912,6578
"131","cEps00RW","I",2,1,6,5,1,1,0,1,0,1,3,1,5,2,6,6,4,7.14974696721548,237.762898256008,2.7511356042948,35.5642282240869,5895,3235
"132","febTrT3r","W",4,2,4,4,4,1,2,2,2,4,4,1,2,4,2,3,2.4,8.01604138503773,184.260971523795,2.71068575428307,22.5765563043553,137,106
"133","WaPCzFgZ","P",3,3,3,3,5,2,3,3,3,4,4,4,4,4,4,3,3.8,4.60879471230709,375.616788685291,2.67908202638398,180.598175803458,14249,9085
"134","HjX2HdqK","I",5,4,5,2,4,1,2,1,1,2,2,2,4,2,5,5,3.6,4.66058030115402,394.972471429469,2.48209665115329,394.418087552238,4818,12294
"135","uws3bgpd","P",4,1,5,4,4,1,2,2,3,1,4,4,4,2,5,5,4,7.54924360192959,302.135262390293,2.92195110222498,35.574233006364,4619,2739
"136","ssp6WxbH","I",2,2,2,4,3,2,2,2,3,1,2,4,5,5,6,5,5,6.98971560498446,213.258754604178,2.98979130697567,14.2355421791823,1251,920
"137","MQ6RsTMb","W",2,1,4,4,3,1,2,2,2,5,4,2,1,4,4,4,3,5.46995653082227,424.885102940928,2.6396228180472,112.584724799821,5672,8497
"138","LoFHf7qC","I",3,3,4,4,3,2,2,3,3,3,3,2,3,3,3,3,2.8,8.42199586812705,401.139914518041,3.03050807543949,75.6694911790502,5778,3485
"139","n1sAihH4","P",2,1,4,4,3,1,2,1,2,2,4,2,3,1,2,2,2,4.73274757987254,356.453108869972,2.83738121706776,158.212822374049,5918,3709
"140","LmrcJkFW","P",3,3,4,4,3,2,2,2,4,3,1,3,4,5,3,3,3.6,6.46614930803895,502.189405609839,2.85655975982402,854.35747267227,5836,21714
"141","RmMgPsPL","I",0,0,6,6,1,0,0,1,1,1,0,1,1,0,0,0,0.4,8.31833439486267,768.114997130766,2.7307639431441,253.319788163464,5539,4485
"142","nNBWqpAt","W",1,1,6,5,1,0,0,1,6,1,0,0,1,5,0,0,1.2,7.09321152063056,271.723839471172,2.70845983596254,87.4495906814146,5360,5094
"143","xJmgq1K2","W",2,2,5,5,2,1,2,1,2,2,2,2,2,2,1,2,1.8,5.06354930641747,383.75841850405,2.7911965149686,84.8019204553544,5730,10951
"144","9jXs8QiZ","P",3,2,4,4,3,2,2,2,3,2,3,4,4,3,4,4,3.8,10.176767837686,1347.55125586189,2.89442775311224,214.192401548597,5792,3487
"145","XJgQNmCX","I",2,2,4,4,2,2,2,2,3,2,2,3,4,2,3,3,3,5.52665718376262,200.350139022271,2.70139799924613,100.455961802393,5851,9087
"146","Fv3NEdJf","P",5,5,2,2,5,4,4,4,4,2,0,6,6,5,6,6,5.8,7.62164358219445,265.026048353598,2.57578475711401,32.2865297136627,114,167
"147","03Slzy0g","W",2,1,6,5,2,1,2,2,2,3,2,2,4,4,3,4,3.4,7.0105871589175,230.919700429309,2.89221117418644,86.8466260132753,5835,6158
"148","Jtcm6tYK","W",1,1,5,5,2,2,2,2,1,1,1,2,3,3,2,2,2.4,6.36976241463825,120.538257035179,3.00755627937858,54.7308006153558,286,299
"149","2Zc5FlKA","P",1,2,4,4,3,1,2,2,2,2,2,2,3,1,2,2,2,6.27480625286078,606.501361621655,2.65188380976772,117.686107038236,5857,3286
"150","IHFcnnZf","P",2,3,5,4,4,3,2,2,2,2,2,4,4,3,4,3,3.6,7.84770899088369,434.313020191042,2.64623065244488,84.9112628242892,3886,6084
"151","DWz62y0a","I",2,2,6,6,1,1,1,1,4,2,2,2,1,4,3,3,2.6,7.24481945887255,261.604714902222,2.72912498395708,89.0232592642069,5952,4053
"152","yhoaciSV","W",2,3,4,4,3,2,2,2,3,3,4,2,3,2,3,3,2.6,8.72123844416605,75.2959476432231,3,73.1944881227919,577,4533
"153","Ft2T3FYk","I",2,4,4,5,0,1,1,1,4,1,1,1,4,5,4,3,3.4,5.06602192221983,160.135393117489,2.73180586976296,100.676839736066,5775,9022
"154","viUfSAwz","P",2,1,4,4,2,4,1,1,1,4,1,4,5,4,5,5,4.6,6.08387212963622,245.078929347563,2.69384560406285,138.329218632483,5296,7487
"155","3XRNNCsq","W",0,2,5,5,3,1,2,2,2,2,1,1,3,3,2,1,2,6.95611124641208,436.842093603802,2.78060216445056,65.1733863017448,5230,5694
"156","Kl8gJ3gg","W",3,3,5,5,1,2,1,2,6,2,1,2,1,5,2,2,2.4,7.02266150922473,351.237825538891,2.72543425740311,157.874359391115,5941,9324
"157","NjjszkUm","I",2,2,4,4,4,4,2,2,2,2,2,5,5,3,6,6,5,8.11259262404517,929.99500615627,3.01058372505484,300.860432440524,5954,6281
"158","Ys6oZnJG","I",2,1,4,4,2,2,3,2,3,2,1,2,3,4,4,4,3.4,6.70204359401822,251.479871753498,2.77942896846696,113.254482698972,5611,6680
"159","tFx4clLL","W",4,3,1,2,4,5,3,5,5,5,5,3,2,5,2,2,2.8,7.74870710679214,866.337974157271,3.2915093038417,435.75125586946,5851,4852
"160","4VozozK1","W",2,2,5,6,2,0,0,1,2,2,0,1,2,3,2,2,2,5.73089205411465,439.109066386109,2.64730582839942,144.134214459241,7384,6875
