"","condition","ID","cov_distance","aa","pa","IDnum","ms","d"
"4738","W","0LbIayBj",5.96511558069693,0.730038500981464,1.5692836449849,4,902,8.72123844416607
"4757","W","0LbIayBj",5.96511558069693,0.54486997565269,2.9161869536724,4,651,8.72123844416607
"4773","W","0LbIayBj",5.96511558069693,0.57064085288917,2.63975225287476,4,650,8.72123844416607
"4934","W","0LbIayBj",5.96511558069693,2.79157232605196,1.4573371359312,4,1667,8.72123844416607
"4944","W","0LbIayBj",5.96511558069693,2.79157232605196,1.4573371359312,4,718,5.22172761242807
"5011","W","0LbIayBj",5.96511558069693,0.729311280459803,1.31162032390272,4,566,5.22172761242806
"5032","W","0LbIayBj",5.96511558069693,0.0892663188300089,1.66054982045377,4,767,5.22172761242806
"5041","W","0LbIayBj",5.96511558069693,-0.0119536875291395,1.81185714024255,4,700,5.22172761242806
"5125","W","0LbIayBj",5.96511558069693,0.0807669289830599,1.78004124241974,4,734,3.38773030360642
"5145","W","0LbIayBj",5.96511558069693,0.0807669289830599,1.78004124241974,4,800,3.5591082661277
"5154","W","0LbIayBj",5.96511558069693,0.0807669289830599,1.78004124241974,4,1417,2.71103537580896
"5237","W","0LbIayBj",5.96511558069693,1.50611915144509,1.30271187251233,4,1134,3.69507344176829
"5288","W","0LbIayBj",5.96511558069693,1.50611915144509,1.30271187251233,4,616,6.21201002934495
"5313","W","0LbIayBj",5.96511558069693,1.50611915144509,1.30271187251233,4,5068,6.22370548561259
"5331","W","0LbIayBj",5.96511558069693,-0.209075900182771,1.6302792662395,4,1700,5.38106956067815
"5392","W","0LbIayBj",5.96511558069693,-0.209075900182768,1.6302792662395,4,934,8.14239555692946
"5400","W","0LbIayBj",5.96511558069693,-0.209075900182768,1.6302792662395,4,501,5.65837266933583
"5509","W","0LbIayBj",5.96511558069693,-0.239301003112651,1.75141872381882,4,1401,5.63397712737704
"5519","W","0LbIayBj",5.96511558069693,-0.239301003112651,1.75141872381882,4,517,3.70274276210103
"5584","W","0LbIayBj",5.96511558069693,-0.23930100311265,1.75141872381882,4,500,2.56320347551465
"5617","W","0LbIayBj",5.96511558069693,-0.239301003112649,1.75141872381882,4,1284,2.53757304479499
"5646","W","0LbIayBj",5.96511558069693,-0.641453951593008,1.27654372317203,4,766,2.12283501021863
"5672","W","0LbIayBj",5.96511558069693,-0.641453951593008,1.27654372317203,4,1101,2.27403215877869
"5684","W","0LbIayBj",5.96511558069693,-0.641453951593008,1.27654372317203,4,1084,3.55429761371072
"5835","W","0LbIayBj",5.96511558069693,-0.641453951593008,1.27654372317203,4,3366,3.49625824693202
"5851","W","0LbIayBj",5.96511558069693,-0.641453951593008,1.27654372317203,4,1033,7.59626965738491
"5872","W","0LbIayBj",5.96511558069693,-0.641453951593008,1.27654372317203,4,584,17.9609719089005
"5877","W","0LbIayBj",5.96511558069693,-0.641453951593008,1.27654372317203,4,550,20.9316077131173
"5896","W","0LbIayBj",5.96511558069693,-0.641453951593008,1.27654372317203,4,3251,20.9344284550596
"5976","W","0LbIayBj",5.96511558069693,0.20316723303748,1.34108454446974,4,1251,20.9541538561357
"5993","W","0LbIayBj",5.96511558069693,0.20316723303748,1.34108454446974,4,600,8.85631723354789
"6100","W","0LbIayBj",5.96511558069693,-2.4207807629721,1.1642356039464,4,535,8.21587460739511
"6281","W","0LbIayBj",5.96511558069693,0.0759036417492682,1.34140470353686,4,1283,8.87958378118045
"6368","P","18Pv6KGu",6.19223369010273,-2.04297467831793e-10,1.55932981409462,5,7362,8.72123844416605
"6491","P","18Pv6KGu",6.19223369010273,0.965748852565899,1.65241404086765,5,551,8.72123844416607
"6526","P","18Pv6KGu",6.19223369010273,2.89724655810629,1.45461005897496,5,755,8.72123844416605
"6529","P","18Pv6KGu",6.19223369010273,2.89724655810629,1.45461005897496,5,570,10.1720232618936
"6530","P","18Pv6KGu",6.19223369010273,2.89724655810629,1.45461005897496,5,505,10.7073929072565
"6884","P","18Pv6KGu",6.19223369010273,-1.40789893014639,1.5126176850173,5,954,10.7073929072564
"6936","P","18Pv6KGu",6.19223369010273,-0.174532925403733,1.58243085509707,5,518,10.7073929072564
"6960","P","18Pv6KGu",6.19223369010273,-0.174532925403733,1.58243085509707,5,619,10.7388972719637
"6978","P","18Pv6KGu",6.19223369010273,-0.174532925403732,1.58243085509707,5,787,5.84394440126504
"6983","P","18Pv6KGu",6.19223369010273,-0.174532925403732,1.58243085509707,5,617,7.52241589839069
"7033","P","18Pv6KGu",6.19223369010273,0.244346095083502,1e-06,5,583,7.48969037099048
"7371","P","18Pv6KGu",6.19223369010273,-0.197803982090624,1.54752627014611,5,700,7.54024700860534
